Name MC MP
Bitcoin 115703760053168 55.79789%
Ethereum 37750892823747 18.20529%
Tether 9989286775053 4.81731%
BNB 7885137045026 3.80259%
Solana 5996980563406 2.89203%
USDC 2882070540508 1.38987%
XRP 2469693170360 1.191%
Dogecoin 1727606192909 0.83313%
Toncoin 1684754917158 0.81247%
Cardano 1295329982526 0.62467%
"Shiba Inu" 1057396257861 0.50993%
Avalanche 1013450201629 0.48873%
TRON 905937684526 0.43689%
Polkadot 797918682057 0.38479%
Chainlink 764407528141 0.36863%
"Bitcoin Cash" 734754711234 0.35433%
Uniswap 587431436435 0.28329%
Polygon 529898974915 0.25554%
Litecoin 516830033170 0.24924%
"NEAR Protocol" 506593783885 0.2443%
"UNUS SED LEO" 480207219925 0.23158%
Dai 474906455961 0.22902%
Pepe 432138763322 0.2084%
Coin 376114895879 0.18138%
Kaspa 329917421941 0.1591%
Coin 319220954095 0.15394%
Aptos 303537107557 0.14638%
Monero 284517775127 0.13721%
Render 270570071526 0.13048%
Hedera 261902263015 0.1263%
Filecoin 255243947585 0.12309%
Stellar 251972409143 0.12151%
Mantle 249688717582 0.12041%
Cosmos 251034687520 0.12106%
OKB 242735420549 0.11706%
Stacks 233870723842 0.11278%
Arbitrum 227814642364 0.10986%
Cronos 226333272545 0.10915%
Coin 225514087401 0.10875%
dogwifhat 215062126349 0.10371%
Immutable 213175843547 0.1028%
Maker 195853266710 0.09445%
Sui 194819586827 0.09395%
Optimism 192720841496 0.09294%
Injective 192097379530 0.09264%
"The Graph" 184423413500 0.08894%
VeChain 181494622590 0.08753%
Bittensor 179342228480 0.08649%
"Lido DAO" 164236259716 0.0792%
Notcoin 163742002728 0.07896%
FLOKI 159298544835 0.07682%
Arweave 158037229673 0.07621%
JasmyCoin 158057186013 0.07622%
Fantom 151676518872 0.07315%
Bonk 143754956621 0.06933%
"Bitget Token" 141618935814 0.0683%
"Theta Network" 138095724925 0.0666%
Ondo 135722296661 0.06545%
THORChain 145747176663 0.07029%
Brett 130847020010 0.0631%
Celestia 127936520570 0.0617%
Core 125404495111 0.06048%
Aave 111094053121 0.05357%
"Pyth Network" 109488984304 0.0528%
Algorand 107663661052 0.05192%
Jupiter 105743226889 0.05099%
Sei 103185797019 0.04976%
Flare 100749467180 0.04859%
Starknet 97132734375 0.04684%
Fetch.ai 96317674664 0.04645%
Ethena 95195268135 0.04591%
Flow 90263993874 0.04353%
Gala 86527053968 0.04173%
"KuCoin Token" 86291150045 0.04161%
Quant 85560264706 0.04126%
"Bitcoin SV" 83848309382 0.04044%
"Axie Infinity" 83675975687 0.04035%
Beam 83423344202 0.04023%
ORDI 79634571030 0.0384%
Coin 78825937100 0.03801%
dYdX 77066837801 0.03717%
MultiversX 76120472522 0.03671%
Neo 75186589517 0.03626%
Gnosis 74957492241 0.03615%
Chiliz 73862882392 0.03562%
Pendle 73701950584 0.03554%
"The Sandbox" 72760425662 0.03509%
Ronin 72526318683 0.03498%
Worldcoin 69941325848 0.03373%
GateToken 69645105488 0.03359%
Tezos 68116838366 0.03285%
Conflux 67112042593 0.03236%
Wormhole 65951355863 0.0318%
Nexo 65944209857 0.0318%
"Akash Network" 65413255425 0.03155%
USDD 64869166976 0.03128%
Oasis 64343302205 0.03103%
EOS 63466681143 0.03061%
Coin 63459410702 0.0306%
Dog 62651430582 0.03021%
